title;dir;price;Size;rooms;bathrooms;parking
Apartamento en Venta;El Poblado - Medellín;453.000.000;81;3;2;1
Apartamento en Venta;El Poblado - Medellín;400.000.000;93;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;178;3;5;3
Apartamento en Venta;El Poblado - Medellín;460.000.000;108;3;3;2
Apartamento en Venta;El Poblado - Medellín;600.000.000;96;1;2;1
Apartamento en Venta;El Poblado - Medellín;790.000.000;228;4;4;1
Apartamento en Venta;El Poblado - Medellín;795.000.000;136;2;4;2
Apartamento en Venta;El Poblado - Medellín;1.842.583.000;259;3;4;3
Casa en Venta;El Poblado - Medellín;2.300.000.000;375;3;5;2
Apartamento en Venta;El Poblado - Medellín;2.900.000.000;384;4;5;3
Consultorio en Venta;El Poblado - Medellín;520.000.000;54;5;1;1
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;590.000.000;133;3;3;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;111;3;3;2
Apartamento en Venta;El Poblado - Medellín;840.000.000;210;3;4;2
Apartamento en Venta;El Poblado - Medellín;620.000.000;123;3;3;2
Apartamento en Venta;El Poblado - Medellín;355.000.000;65;2;2;1
Apartamento en Venta;El Poblado - Medellín;690.000.000;129;3;2;
Apartamento en Venta;El Poblado - Medellín;640.000.000;113;3;3;2
Casa en Venta;El Poblado - Medellín;2.200.000.000;404;3;6;8
Apartamento en Venta;El Poblado - Medellín;720.000.000;124;3;3;2
Apartamento en Venta;El Poblado - Medellín;453.000.000;81;3;2;1
Apartamento en Venta;El Poblado - Medellín;420.000.000;79;3;3;1
Apartamento en Venta;El Poblado - Medellín;610.000.000;86;1;2;1
